,POS,NEU,NEG
2022-06-03 22:00:00,0.2328666445011601,0.6301026517784223,0.13703069605220417
2022-06-03 23:00:00,0.21463582896713615,0.6476746454260564,0.1376895219213615
2022-06-04 00:00:00,0.2203567522608046,0.6544654872264368,0.12517775683922988
2022-06-04 01:00:00,0.2059384596382151,0.6702474766270022,0.12381405811308924
2022-06-04 02:00:00,0.20924531024891677,0.6813022511830102,0.10945243565838084
2022-06-04 03:00:00,0.2962587311085519,0.6141463464104903,0.0895949126232041
2022-06-04 04:00:00,0.2617194959743649,0.6405734371114318,0.09770705527990763
2022-06-04 05:00:00,0.2507790456804196,0.6550467682621212,0.09417418173757576
2022-06-04 06:00:00,0.24241471581413793,0.6660294828586206,0.09155579249488506
2022-06-04 07:00:00,0.2283059946453179,0.660286677082659,0.11140732377575722
